date;name;open;click;browse;sale;unsubscribe;spamReport;revenue;discount;saleCount;newCustomers;totalCustomers;currency;cost
2018-04-05;;252;11;62;4;0;0;12892.4;0;4;1;2960;SEK;0
2018-04-06;;49;2;45;2;0;0;2998;0;2;2;2962;SEK;0
2018-04-07;;48;4;49;1;0;0;1649;0;1;3;2965;SEK;0
2018-04-08;;62;7;21;3;0;0;8655.1;0;3;3;2968;SEK;0
2018-04-09;Dusty pink;961;99;142;3;4;0;7664.95;0;3;4;2972;SEK;0
2018-04-10;;366;54;84;5;2;0;10663.3;0;5;2;2974;SEK;0
2018-04-11;;64;7;19;4;0;0;11993.5;0;4;6;2980;SEK;0
2018-04-12;Annie Skirt;852;101;110;4;5;0;9943.5;0;4;5;2985;SEK;0
2018-04-13;;77;6;15;2;2;0;5797;0;2;3;2988;SEK;0
2018-04-14;;25;2;4;6;0;0;15500.5;0;6;5;2993;SEK;0
2018-04-15;Dresses;907;187;223;8;3;0;27836;0;8;2;2995;SEK;0
2018-04-16;;368;42;105;4;1;0;10953.3;0;4;2;2997;SEK;0
2018-04-17;;70;5;40;2;0;0;5297;0;2;4;3001;SEK;0
2018-04-18;New now;1018;193;246;5;3;0;7945;0;5;3;3004;SEK;0
2018-04-19;;96;2;48;7;1;0;15443;0;7;6;3010;SEK;0
2018-04-20;;43;1;16;4;0;0;9244;0;4;4;3014;SEK;0
2018-04-21;;33;5;51;6;0;0;13202.5;0;6;6;3020;SEK;0
2018-04-22;;32;1;19;4;0;0;9995;0;4;4;3024;SEK;0
2018-04-23;Soft Wraps;892;124;168;4;2;0;7695;0;4;5;3029;SEK;0
2018-04-24;;241;32;71;2;0;0;3098;0;2;2;3031;SEK;0
2018-04-25;How to travel light;820;71;146;10;3;0;21686.5;0;10;7;3038;SEK;0
2018-04-26;;286;28;40;4;0;0;13292;0;4;4;3042;SEK;0
2018-04-27;;47;5;36;7;0;0;12143;0;7;3;3045;SEK;0
2018-04-28;;34;4;45;7;0;0;17538.5;0;7;5;3050;SEK;0
2018-04-29;Matching sets;906;100;197;8;6;0;34909.9;0;8;7;3057;SEK;0
2018-04-30;;332;26;92;4;0;0;5296.5;0;4;3;3060;SEK;0
2018-05-01;;104;12;57;4;0;0;8944.5;0;4;6;3066;SEK;0
2018-05-02;Sight of summer;778;109;142;3;1;0;7045;0;3;3;3069;SEK;0
2018-05-03;;277;30;105;8;0;0;14730.1;0;8;8;3077;SEK;0
2018-05-04;;59;7;61;4;0;0;5597;0;4;0;3077;SEK;0
2018-05-05;;20;2;38;7;0;0;12543;0;7;3;3080;SEK;0
2018-05-06;vacation;923;102;231;7;2;0;18298;0;7;4;3084;SEK;0
2018-05-07;;228;27;91;8;1;0;23785;0;8;9;3093;SEK;0
2018-05-08;;70;12;44;6;0;0;11033;0;6;5;3098;SEK;0
2018-05-09;Founder;856;111;117;2;1;0;4097.2;0;2;2;3100;SEK;0
2018-05-10;;291;27;99;7;0;0;18428;0;7;3;3103;SEK;0
2018-05-11;;103;11;62;3;0;0;13242;0;3;2;3105;SEK;0
2018-05-12;;32;5;59;2;0;0;4997;0;2;4;3109;SEK;0
2018-05-13;Vårshopping;1021;159;117;5;3;0;9246;0;5;1;3110;SEK;0
2018-05-14;;472;37;38;10;2;0;24164.6;0;10;6;3116;SEK;0
2018-05-15;;161;18;83;11;0;0;41223.5;0;11;8;3124;SEK;0
2018-05-16;New Arrivals;984;166;229;12;3;0;25424.4;0;12;9;3133;SEK;0
2018-05-17;;358;63;116;7;2;0;12351.3;0;7;4;3137;SEK;0
